LTER	Stream_Name	Discharge_File_Name	Shapefile_Name	Reason
Amazon		Obidos_Q	Amazon_Obidos	Duplicate Obidos alias; retain the accepted canonical extraction row.
HYBAM	Obidos			Duplicate Obidos alias; retain the accepted canonical extraction row.
