source_release,target_release,field,source_value,target_value,notes
V2,V3,LTER,Swedish Goverment,Sweden,Reference-table rename confirmed by matched Stream_Name plus discharge and shapefile keys
V2,V3,LTER,Carey,PIE,Reference-table rename confirmed by matched Stream_Name plus discharge and shapefile keys
