"variable","group","storage_type","non_missing","pct_non_missing","unique_non_missing","min","q1","median","mean","q3","max","example_values"
"LTER","site_id","character",797,100,35,,,,,,,"Amazon | AND | ARC | Australia | BcCZO"
"Shapefile_Name","site_id","character",517,64.9,491,,,,,,,"AL02.3M | Albion | AMAR | Amazon_Manacapuru | Amazon_Obidos"
"Discharge_File_Name","site_id","character",639,80.2,529,,,,,,,"AAGEVEG_Q | ACCOTINK_CREEK_Q | AL02.3M_Q | Alsek_Q | Alsteran Getebro_Q"
"Stream_Name","site_id","character",797,100,797,,,,,,,"AAGEVEG | Aberjona | ACCOTINK CREEK | Adams Stream at Weir | Aiken Creek at F5"
"snow_2002_num_days","snow","numeric",480,60.2,443,1,29.6683448279096,45.0120273823087,48.9041197970501,64.791578451424,156.748973599505,
"snow_2003_num_days","snow","numeric",483,60.6,442,1,28.8853037498892,44.2374091135446,48.2466698370757,64.7099054502124,154.245098193522,
"snow_2004_num_days","snow","numeric",477,59.8,446,1,32.752455276732,46.0238012142528,52.4107068497999,70.4677907032717,179.172752769873,
"snow_2005_num_days","snow","numeric",481,60.4,440,1,31.3290802418612,45.4236315309541,51.9223074000054,71.6832339347791,171.692491095451,
"snow_2006_num_days","snow","numeric",480,60.2,439,1,30.5376286895947,44.0131673093107,51.4961454978804,74.061942687279,165.896952382537,
"snow_2007_num_days","snow","numeric",478,60,443,1,31.7349085307073,45.4636318755714,50.8831027692091,65.9535563073255,153.926352756851,
"snow_2008_num_days","snow","numeric",476,59.7,441,2,34.0598528678526,47.221137425291,51.906745284493,63.2424497586625,162.326608679309,
"snow_2009_num_days","snow","numeric",481,60.4,447,1,34.896373156033,47.7298715343835,53.2169200223231,67.3021934894233,163.687929964236,
"snow_2010_num_days","snow","numeric",479,60.1,445,2,34.1075893950837,49.2346631020052,53.2953917288764,69.1296729473747,162.611618216218,
"snow_2011_num_days","snow","numeric",483,60.6,444,1,31.3636879395795,46.9072607783558,53.2372718388951,70.8396077307783,186.100427333532,
"snow_2012_num_days","snow","numeric",482,60.5,442,1,34.7968969379053,46.8492173757808,51.5907441290247,70.0472691296802,155.914029431199,
"snow_2013_num_days","snow","numeric",485,60.9,444,1,31.8883363747218,46.0183574198364,52.8129077484717,73.6443476385572,164.220842076552,
"snow_2014_num_days","snow","numeric",481,60.4,445,2,31.079910011232,44.4111804440822,48.8061001958152,62.2237280025462,139.039945499406,
"snow_2015_num_days","snow","numeric",480,60.2,443,1,30.3632968610842,46.6572007261827,49.4729057102476,59.8960159079666,131.154715499164,
"snow_2016_num_days","snow","numeric",483,60.6,447,1,29.7099982493237,43.1521608516246,46.9234719511116,59.5864667743979,150.911722941423,
"snow_2017_num_days","snow","numeric",483,60.6,442,1,30.1122497052319,44.9728354978355,49.7410024338255,63.8847301325774,167.487698342019,
"snow_2018_num_days","snow","numeric",480,60.2,444,1,29.5995128784478,45.282404658001,51.2384445014896,72.156522752284,141.62620703778,
"snow_2019_num_days","snow","numeric",479,60.1,443,1,32.415410683686,46.8153922600698,51.229011452402,66.6693442918379,152.653993683533,
"snow_2020_num_days","snow","numeric",479,60.1,440,1,30.423348307896,45.6871317506207,48.793865098941,60.6954755022749,160.576111117009,
"snow_2021_num_days","snow","numeric",485,60.9,445,1,31.208148048206,45.4249684399838,49.673496092508,65.6498409234554,149.93740501847,
"snow_2022_num_days","snow","numeric",482,60.5,448,1,31.1139540007082,45.0513016844288,50.7091938403309,65.8824288688962,156.677462226892,
"snow_2023_num_days","snow","numeric",476,59.7,443,2,27.4916748975502,38.8990257741543,50.5076639644216,72.6711381624059,175.902357292223,
"snow_2024_num_days","snow","numeric",440,55.2,407,1,29.4318249488965,42.141589859756,43.9162403996491,57.9011243831704,138.301966246188,
"snow_2025_num_days","snow","numeric",412,51.7,381,1.08951920771628,33.8264967492095,45.241661492119,49.5579624513611,59.3285892995595,163.174437312846,
"snow_2002_max_prop_area","snow","numeric",480,60.2,411,0.125,0.17072620700663,0.291666666666667,0.371707593130731,0.558712781928196,0.968526315789474,
"snow_2003_max_prop_area","snow","numeric",483,60.6,407,0.125,0.179614181438999,0.292199201757926,0.376710733496436,0.550021253187978,0.957369942196532,
"snow_2004_max_prop_area","snow","numeric",477,59.8,423,0.125,0.174494760479042,0.340073529411765,0.399417144806795,0.594223090999834,0.978233830845771,
"snow_2005_max_prop_area","snow","numeric",481,60.4,410,0.125,0.16890440386681,0.325,0.394645243907529,0.620419435961919,1,
"snow_2006_max_prop_area","snow","numeric",480,60.2,409,0.125,0.16320139480702,0.292937908159098,0.397315793827811,0.661338993453355,0.875,
"snow_2007_max_prop_area","snow","numeric",478,60,421,0.125,0.166789577187808,0.310346743791264,0.398300668354122,0.642730801339404,1,
"snow_2008_max_prop_area","snow","numeric",476,59.7,415,0.125,0.166006222192955,0.317634872310168,0.365552258794465,0.513621261509458,0.928861788617886,
"snow_2009_max_prop_area","snow","numeric",481,60.4,416,0.125,0.234420289855072,0.4375,0.435152966299786,0.601945004429949,0.937138728323699,
"snow_2010_max_prop_area","snow","numeric",479,60.1,421,0.125,0.25,0.474332332490518,0.458759160319058,0.64270662568306,0.941955779612575,
"snow_2011_max_prop_area","snow","numeric",483,60.6,418,0.125,0.179284565541674,0.331913221300985,0.402825516377018,0.574399728087316,1,
"snow_2012_max_prop_area","snow","numeric",482,60.5,423,0.125,0.170759438979618,0.289583333333334,0.384047587955492,0.60047234907412,1,
"snow_2013_max_prop_area","snow","numeric",485,60.9,419,0.125,0.169072948328267,0.361052472858866,0.421295308205454,0.688295477502958,0.994354110207769,
"snow_2014_max_prop_area","snow","numeric",481,60.4,423,0.125,0.169441460794844,0.32259352189781,0.394635429599449,0.562516756490575,1,
"snow_2015_max_prop_area","snow","numeric",480,60.2,423,0.125,0.163984242109242,0.313761114243528,0.372845330686211,0.563032609809203,0.907142857142857,
"snow_2016_max_prop_area","snow","numeric",483,60.6,425,0.125,0.171647791571299,0.282494220395582,0.340078136735665,0.492440160789329,0.955357142857143,
"snow_2017_max_prop_area","snow","numeric",483,60.6,419,0.125,0.174260811419189,0.281195147134744,0.350135570095701,0.486204361442085,1,
"snow_2018_max_prop_area","snow","numeric",480,60.2,421,0.125,0.166175130169696,0.334623645572867,0.387956197146305,0.601616682689502,1,
"snow_2019_max_prop_area","snow","numeric",479,60.1,412,0.125,0.179117682509782,0.301728365212713,0.375905001018813,0.561680169753086,0.912486401547202,
"snow_2020_max_prop_area","snow","numeric",479,60.1,414,0.125,0.162255010315355,0.273911574304617,0.35216473951789,0.53527701717396,0.932341650671785,
"snow_2021_max_prop_area","snow","numeric",485,60.9,421,0.125,0.164514462809917,0.325,0.3904433287606,0.611455908973364,0.929577464788732,
"snow_2022_max_prop_area","snow","numeric",482,60.5,428,0.125,0.217882263248093,0.382830701461037,0.422787329354142,0.618713341635686,1,
"snow_2023_max_prop_area","snow","numeric",476,59.7,419,0.125,0.161760542766852,0.338117886543624,0.405082952914722,0.638892558173266,0.965860543179738,
"snow_2024_max_prop_area","snow","numeric",440,55.2,388,0.125,0.189874810261827,0.300601976208749,0.368470471935882,0.531211151540272,0.883928571428571,
"snow_2025_max_prop_area","snow","numeric",412,51.7,375,0.125,0.221755021420305,0.357262695127922,0.379819114196888,0.496619023346933,0.99702380952381,
"snow_jan_num_days","snow","numeric",478,60,440,1,4.18754057736069,4.9621724348618,6.04999577695997,7.51187971844556,17.019315081934,
