"variable","group","storage_type","non_missing","pct_non_missing","unique_non_missing","min","q1","median","mean","q3","max","example_values"
"snow_feb_num_days","snow","numeric",481,60.4,447,1,3.72547678493618,5.08453111946533,6.08075990795552,8.30461992497064,14.4712813276238,
"snow_mar_num_days","snow","numeric",484,60.7,447,0,3.96393587948396,4.68925039931387,6.62975052048372,9.86892218387631,15.2487729770053,
"snow_apr_num_days","snow","numeric",484,60.7,429,0.5,3.72529443912816,3.89129316102186,5.55939306479366,7.01929567035274,17.7913805759458,
"snow_may_num_days","snow","numeric",472,59.2,393,1,3.8915639842436,4,4.77851957652364,4.48561337075146,16.1476984025088,
"snow_jun_num_days","snow","numeric",482,60.5,383,0,3.52714249462261,3.78939815660434,4.22264601185092,4.09382416740188,16.6273705269792,
"snow_jul_num_days","snow","numeric",479,60.1,395,0,3.75117994942372,3.93927494093086,4.02996704073532,4.31217218981983,13.1125121181624,
"snow_aug_num_days","snow","numeric",481,60.4,407,0,3.81108122136367,3.97717817333631,3.97517516856226,4.11679101943808,10.3103265020891,
"snow_sep_num_days","snow","numeric",482,60.5,424,1,3.61103831270686,3.7724524936471,3.79355517053619,3.97555809656575,8.27187636117983,
"snow_oct_num_days","snow","numeric",484,60.7,427,1,3.95397793398487,4.0499284571669,4.62430841718443,4.94129358172263,11.6622546457272,
"snow_nov_num_days","snow","numeric",486,61,443,1,3.91873248415192,4.17014013895811,5.22034447397575,5.81805557738851,13.6517383387025,
"snow_dec_num_days","snow","numeric",467,58.6,409,0,4.44572567393259,5.25544301565825,5.90802992319777,7.33179996560027,15.833323603586,
"snow_jan_avg_prop_area","snow","numeric",478,60,439,0.0967741935483871,0.137593428159241,0.16931325729545,0.205155309535847,0.251131325710162,0.549010163933354,
"snow_feb_avg_prop_area","snow","numeric",481,60.4,448,0.0909090909090909,0.133266546994009,0.181590397123762,0.218424440876386,0.296593568748952,0.516831475986566,
"snow_mar_avg_prop_area","snow","numeric",484,60.7,450,0,0.128036335391044,0.154775506940584,0.216237449903565,0.318352328512139,0.491895902484042,
"snow_apr_avg_prop_area","snow","numeric",484,60.7,431,0.0833333333333333,0.124894933554767,0.131487787611594,0.18855948273055,0.233976522345091,0.593046019198193,
"snow_may_avg_prop_area","snow","numeric",472,59.2,396,0.108695652173913,0.125918430845813,0.129032258064516,0.159346438865509,0.155334284251334,0.520893496855123,
"snow_jun_avg_prop_area","snow","numeric",482,60.5,389,0,0.120624028769502,0.126857719345983,0.14806996589906,0.140321563811015,0.554245684232641,
"snow_jul_avg_prop_area","snow","numeric",479,60.1,410,0,0.121998741892694,0.12808810086087,0.134274215352845,0.140246447101286,0.422984261876206,
"snow_aug_avg_prop_area","snow","numeric",481,60.4,420,0,0.124881100082713,0.128961596795879,0.133821324770255,0.133856181840643,0.332591177486744,
"snow_sep_avg_prop_area","snow","numeric",482,60.5,430,0.0714285714285714,0.1208171581734,0.126095678261517,0.130192682948839,0.133170089142749,0.275729212039328,
"snow_oct_avg_prop_area","snow","numeric",484,60.7,429,0.0869565217391304,0.127995851333661,0.130957246259266,0.152071712567947,0.159396567152343,0.376201762765393,
"snow_nov_avg_prop_area","snow","numeric",486,61,443,0.0714285714285714,0.130833080369848,0.14010610792188,0.17919539191503,0.206149554330639,0.455057944623418,
"snow_dec_avg_prop_area","snow","numeric",467,58.6,408,0,0.135391695627869,0.158282742049271,0.17936030930821,0.215641175458832,0.465685988340766,
"greenup_cycle0_2001MMDD","greenup","character",485,60.9,128,,,,,,,"2000-10-21 | 2000-11-07 | 2000-11-28 | 2000-12-05 | 2001-01-11"
"greenup_cycle1_2001MMDD","greenup","character",484,60.7,139,,,,,,,"2001-04-08 | 2001-04-10 | 2001-04-17 | 2001-05-04 | 2001-05-06"
"greenup_cycle0_2002MMDD","greenup","character",485,60.9,136,,,,,,,"2001-10-10 | 2001-10-12 | 2001-10-22 | 2001-11-07 | 2001-11-18"
"greenup_cycle1_2002MMDD","greenup","character",484,60.7,143,,,,,,,"2002-04-28 | 2002-04-29 | 2002-05-03 | 2002-05-06 | 2002-05-07"
"greenup_cycle0_2003MMDD","greenup","character",485,60.9,130,,,,,,,"2002-11-19 | 2002-11-23 | 2002-11-28 | 2002-12-05 | 2002-12-10"
"greenup_cycle1_2003MMDD","greenup","character",484,60.7,130,,,,,,,"2003-03-24 | 2003-04-06 | 2003-04-20 | 2003-04-23 | 2003-04-24"
"greenup_cycle0_2004MMDD","greenup","character",485,60.9,138,,,,,,,"2003-10-26 | 2003-11-01 | 2003-11-11 | 2003-11-12 | 2003-11-19"
"greenup_cycle1_2004MMDD","greenup","character",484,60.7,132,,,,,,,"2004-04-01 | 2004-04-03 | 2004-04-11 | 2004-04-24 | 2004-04-28"
"greenup_cycle0_2005MMDD","greenup","character",485,60.9,141,,,,,,,"2004-10-20 | 2004-10-26 | 2004-11-02 | 2004-11-26 | 2004-12-03"
"greenup_cycle1_2005MMDD","greenup","character",484,60.7,135,,,,,,,"2005-03-22 | 2005-03-23 | 2005-04-08 | 2005-04-27 | 2005-04-29"
"greenup_cycle0_2006MMDD","greenup","character",485,60.9,111,,,,,,,"2005-11-02 | 2005-11-05 | 2005-11-11 | 2005-11-13 | 2005-11-24"
"greenup_cycle1_2006MMDD","greenup","character",484,60.7,120,,,,,,,"2006-04-24 | 2006-04-29 | 2006-05-05 | 2006-05-06 | 2006-05-08"
"greenup_cycle0_2007MMDD","greenup","character",485,60.9,119,,,,,,,"2006-11-07 | 2006-11-15 | 2006-11-21 | 2006-11-24 | 2006-11-29"
"greenup_cycle1_2007MMDD","greenup","character",484,60.7,123,,,,,,,"2007-03-21 | 2007-04-29 | 2007-05-04 | 2007-05-05 | 2007-05-10"
"greenup_cycle0_2008MMDD","greenup","character",485,60.9,131,,,,,,,"2007-10-03 | 2007-10-20 | 2007-10-27 | 2007-11-27 | 2007-12-12"
"greenup_cycle1_2008MMDD","greenup","character",484,60.7,134,,,,,,,"2008-04-18 | 2008-04-24 | 2008-04-25 | 2008-04-29 | 2008-05-06"
"greenup_cycle0_2009MMDD","greenup","character",485,60.9,117,,,,,,,"2008-09-29 | 2008-10-27 | 2008-10-30 | 2008-11-25 | 2008-11-26"
"greenup_cycle1_2009MMDD","greenup","character",484,60.7,131,,,,,,,"2009-03-25 | 2009-04-03 | 2009-04-17 | 2009-04-25 | 2009-04-27"
"greenup_cycle0_2010MMDD","greenup","character",485,60.9,118,,,,,,,"2009-11-12 | 2009-11-20 | 2009-11-26 | 2009-12-04 | 2009-12-05"
"greenup_cycle1_2010MMDD","greenup","character",484,60.7,132,,,,,,,"2010-04-20 | 2010-04-24 | 2010-04-25 | 2010-04-26 | 2010-04-27"
"greenup_cycle0_2011MMDD","greenup","character",485,60.9,139,,,,,,,"2010-10-27 | 2010-11-10 | 2010-11-22 | 2010-12-16 | 2010-12-26"
"greenup_cycle1_2011MMDD","greenup","character",484,60.7,131,,,,,,,"2011-04-10 | 2011-04-14 | 2011-04-23 | 2011-05-05 | 2011-05-08"
"greenup_cycle0_2012MMDD","greenup","character",485,60.9,139,,,,,,,"2011-09-26 | 2011-09-30 | 2011-10-08 | 2011-10-14 | 2011-10-20"
"greenup_cycle1_2012MMDD","greenup","character",484,60.7,130,,,,,,,"2012-04-12 | 2012-04-21 | 2012-04-25 | 2012-04-27 | 2012-04-28"
"greenup_cycle0_2013MMDD","greenup","character",485,60.9,121,,,,,,,"2012-10-07 | 2012-10-21 | 2012-11-18 | 2012-11-21 | 2012-11-28"
"greenup_cycle1_2013MMDD","greenup","character",484,60.7,146,,,,,,,"2013-04-14 | 2013-04-17 | 2013-04-24 | 2013-04-27 | 2013-04-29"
"greenup_cycle0_2014MMDD","greenup","character",485,60.9,108,,,,,,,"2013-10-27 | 2013-11-06 | 2013-12-07 | 2013-12-28 | 2013-12-29"
"greenup_cycle1_2014MMDD","greenup","character",484,60.7,135,,,,,,,"2014-04-06 | 2014-04-11 | 2014-04-22 | 2014-05-01 | 2014-05-05"
"greenup_cycle0_2015MMDD","greenup","character",485,60.9,117,,,,,,,"2014-10-09 | 2014-11-07 | 2014-11-13 | 2014-11-16 | 2014-11-29"
"greenup_cycle1_2015MMDD","greenup","character",484,60.7,143,,,,,,,"2015-03-24 | 2015-04-13 | 2015-04-20 | 2015-04-24 | 2015-04-25"
"greenup_cycle0_2016MMDD","greenup","character",485,60.9,118,,,,,,,"2015-10-10 | 2015-11-05 | 2015-11-06 | 2015-11-14 | 2015-12-15"
"greenup_cycle1_2016MMDD","greenup","character",484,60.7,142,,,,,,,"2016-04-06 | 2016-04-14 | 2016-04-16 | 2016-04-18 | 2016-04-19"
"greenup_cycle0_2017MMDD","greenup","character",485,60.9,122,,,,,,,"2016-10-01 | 2016-10-02 | 2016-11-23 | 2016-12-12 | 2016-12-21"
"greenup_cycle1_2017MMDD","greenup","character",484,60.7,133,,,,,,,"2017-04-12 | 2017-04-30 | 2017-05-03 | 2017-05-08 | 2017-05-10"
"greenup_cycle0_2018MMDD","greenup","character",485,60.9,121,,,,,,,"2017-10-28 | 2017-11-01 | 2017-11-29 | 2017-12-04 | 2017-12-15"
"greenup_cycle1_2018MMDD","greenup","character",484,60.7,111,,,,,,,"2018-04-25 | 2018-04-26 | 2018-04-27 | 2018-04-29 | 2018-05-01"
"greenup_cycle0_2019MMDD","greenup","character",485,60.9,125,,,,,,,"2018-10-21 | 2018-10-22 | 2018-12-12 | 2018-12-15 | 2018-12-16"
"greenup_cycle1_2019MMDD","greenup","character",484,60.7,127,,,,,,,"2019-04-15 | 2019-04-22 | 2019-04-24 | 2019-04-25 | 2019-04-26"
"greenup_cycle0_2020MMDD","greenup","character",485,60.9,129,,,,,,,"2019-11-29 | 2019-12-02 | 2019-12-06 | 2019-12-12 | 2019-12-15"
"greenup_cycle1_2020MMDD","greenup","character",484,60.7,132,,,,,,,"2020-04-04 | 2020-04-05 | 2020-04-15 | 2020-04-26 | 2020-05-02"
"greenup_cycle0_2021MMDD","greenup","character",485,60.9,118,,,,,,,"2020-11-02 | 2020-11-05 | 2020-11-09 | 2020-11-29 | 2020-12-22"
"greenup_cycle1_2021MMDD","greenup","character",484,60.7,132,,,,,,,"2021-04-18 | 2021-04-27 | 2021-05-02 | 2021-05-04 | 2021-05-05"
"greenup_cycle0_2022MMDD","greenup","character",485,60.9,124,,,,,,,"2021-10-11 | 2021-10-26 | 2021-11-04 | 2021-11-20 | 2021-11-29"
"greenup_cycle1_2022MMDD","greenup","character",484,60.7,127,,,,,,,"2022-04-12 | 2022-04-19 | 2022-04-23 | 2022-04-25 | 2022-05-06"
"greenup_cycle0_2023MMDD","greenup","character",304,38.1,94,,,,,,,"2022-12-24 | 2023-01-07 | 2023-01-23 | 2023-01-30 | 2023-02-01"
"greenup_cycle1_2023MMDD","greenup","character",303,38,99,,,,,,,"2023-04-20 | 2023-04-25 | 2023-04-30 | 2023-05-04 | 2023-05-05"
"evapotrans_2001_kg_m2","evapotranspiration","numeric",488,61.2,460,198.225245143775,383.569369812236,478.16762558344,526.691434287596,608.64567035443,1588.48375652911,
"evapotrans_2002_kg_m2","evapotranspiration","numeric",488,61.2,460,161.001689154372,398.241098728883,480.46092331644,522.308664154763,618.098969899822,1640.75,
"evapotrans_2003_kg_m2","evapotranspiration","numeric",488,61.2,460,161.8,386.265363128492,484.559594293662,523.950637554237,577.58415420395,1607.34568702655,
"evapotrans_2004_kg_m2","evapotranspiration","numeric",488,61.2,460,138.1,376.193100416203,487.72803449778,532.397794389026,621.915404835156,1629.48533548008,
"evapotrans_2005_kg_m2","evapotranspiration","numeric",488,61.2,460,158.55,404.180592345611,492.161914896561,540.487078342438,621.994071146245,1585.87458842672,
"evapotrans_2006_kg_m2","evapotranspiration","numeric",488,61.2,460,140.825,390.356958902248,487.883216144456,526.255463499387,604.147015638898,1598.29528878497,
"evapotrans_2007_kg_m2","evapotranspiration","numeric",488,61.2,460,157.575,390.757763600145,498.09523202944,530.819109551436,610.548806154091,1582.82988794542,
"evapotrans_2008_kg_m2","evapotranspiration","numeric",488,61.2,460,177.425,371.664045249648,490.935016248328,525.54988278108,599.457129632692,1586.33208972571,
"evapotrans_2009_kg_m2","evapotranspiration","numeric",488,61.2,460,154.075,387.20047455389,488.367579732561,529.701603521993,611.60200748351,1653.6327470807,
"evapotrans_2010_kg_m2","evapotranspiration","numeric",488,61.2,460,206.6,411.019884825304,497.73299652359,543.976433005694,616.8696420956,1605.35510740558,
"evapotrans_2011_kg_m2","evapotranspiration","numeric",488,61.2,460,145.013114966955,407.452778233432,500.682457409544,543.982909512258,635.229055478665,1591.26212261055,
"evapotrans_2012_kg_m2","evapotranspiration","numeric",488,61.2,460,160.776676376007,376.490298707567,473.041109504317,521.451629089783,605.1991727568,1619.65,
"evapotrans_2013_kg_m2","evapotranspiration","numeric",488,61.2,460,195.436489662366,407.911232616684,491.445856247737,539.901123406647,620.511738313443,1562.07029151968,
"evapotrans_2014_kg_m2","evapotranspiration","numeric",488,61.2,459,203.424095068367,400.922354132032,495.758529269679,539.824792865968,616.114777067856,1638.73375345257,
"evapotrans_2015_kg_m2","evapotranspiration","numeric",488,61.2,460,227.64668265634,397.077707924034,487.967259965118,538.482255536927,629.546767830868,1610.93814299779,
"evapotrans_2016_kg_m2","evapotranspiration","numeric",488,61.2,460,216.870971620898,408.25711905179,498.302846891374,549.423679168521,641.766602151641,1646.50812447015,
"evapotrans_2017_kg_m2","evapotranspiration","numeric",488,61.2,460,210.146786195468,374.652441361962,496.12388925182,538.458717745614,629.893787553782,1603.30582738642,
"evapotrans_2018_kg_m2","evapotranspiration","numeric",488,61.2,460,190.189446267678,405.079160618248,486.098481930935,541.289018669308,626.280887889805,1610.24406773867,
"evapotrans_2019_kg_m2","evapotranspiration","numeric",488,61.2,460,165.597311793617,389.748229876114,495.209768860156,540.256287254534,634.426607166129,1610.02686541144,
"evapotrans_2020_kg_m2","evapotranspiration","numeric",488,61.2,460,170.75,397.902194052663,502.884324457946,546.344719008683,632.102777777778,1624.86552321766,
"evapotrans_2021_kg_m2","evapotranspiration","numeric",488,61.2,460,199.275,410.316560304607,518.086549572103,556.756082950736,633.563636363636,1575.29375,
"evapotrans_2022_kg_m2","evapotranspiration","numeric",488,61.2,460,202.948278503694,408.666688095927,502.368080984105,550.25995103467,639.053329218361,1544.486519266,
"evapotrans_2023_kg_m2","evapotranspiration","numeric",445,55.8,417,174.466666666667,408.404875411862,514.061690885073,550.939077718938,613.864849795779,1559.69252365521,
"evapotrans_jan_kg_m2","evapotranspiration","numeric",489,61.4,461,10.4501966630976,24.4747099903815,38.5030439121757,61.2064851293109,64.7104166666667,364.880411392405,
"evapotrans_feb_kg_m2","evapotranspiration","numeric",489,61.4,461,13.32826066222,38.0252033212434,54.5677037663007,73.5368027162861,80.6833180508253,362.5432660852,
"evapotrans_mar_kg_m2","evapotranspiration","numeric",489,61.4,461,25.3460674290194,62.697620977958,91.8142379679144,101.42565452907,110.130696202532,405.494369369369,
"evapotrans_apr_kg_m2","evapotranspiration","numeric",489,61.4,461,22.2596684761998,72.5826785714286,94.2136363636364,100.000877276459,109.800335552147,331.23125,
"evapotrans_may_kg_m2","evapotranspiration","numeric",489,61.4,461,31.0443239520696,144.237466001631,179.900365620447,179.958299522613,215.349398395722,430.5875,
"evapotrans_jun_kg_m2","evapotranspiration","numeric",489,61.4,461,12.1125,197.157562036509,252.029313025847,233.844277638575,286.013665254237,414.8375,
"evapotrans_jul_kg_m2","evapotranspiration","numeric",489,61.4,461,28.4983862763439,204.723008196721,260.583240066676,246.500120201994,306.758098591549,432.65,
"evapotrans_aug_kg_m2","evapotranspiration","numeric",489,61.4,461,28.74369084946,151.744731064764,184.596407649243,200.325564353544,262.904169419979,447.302021554746,
"evapotrans_sep_kg_m2","evapotranspiration","numeric",489,61.4,461,22.6393414281119,79.0908829234224,115.593981512112,131.727216621448,160.415568142398,461.658097379468,
"evapotrans_oct_kg_m2","evapotranspiration","numeric",489,61.4,461,11.9493609242372,35.960488597613,51.9890131575593,64.8565148425568,67.1069475211991,326.600818189898,
"evapotrans_nov_kg_m2","evapotranspiration","numeric",489,61.4,461,7.27166666666667,33.2034939149033,48.9702647278151,67.1904394322441,68.1401835144556,390.767310476318,
"evapotrans_dec_kg_m2","evapotranspiration","numeric",489,61.4,461,6.23033333333333,22.9784155108185,36.1708135824489,59.716369629078,61.3850714567317,358.860639844327,
"npp_2001_kgC_m2_year","npp","numeric",489,61.4,460,0,0.436066481609008,0.55161869936744,0.596830558379926,0.70194115755627,1.77135,
"npp_2002_kgC_m2_year","npp","numeric",489,61.4,461,0.00296,0.427021413026789,0.570744712286159,0.596177923610182,0.685831578947368,1.82115,
"npp_2003_kgC_m2_year","npp","numeric",489,61.4,461,0.1231,0.438928891254706,0.580935903983657,0.607281527047403,0.74539750371471,1.6779625,
"npp_2004_kgC_m2_year","npp","numeric",489,61.4,461,0.11066,0.46826974374807,0.577083466613355,0.623141532062821,0.731950245700246,1.768025,
"npp_2005_kgC_m2_year","npp","numeric",489,61.4,461,0.130502167617376,0.462263808064461,0.58432001588843,0.613406031176978,0.719935263677425,1.58965992776089,
"npp_2006_kgC_m2_year","npp","numeric",489,61.4,461,0.13586,0.449736838288615,0.592760867336477,0.608512723046247,0.694092307692308,1.723056,
"npp_2007_kgC_m2_year","npp","numeric",489,61.4,461,0.02688,0.462462526023595,0.592677831445703,0.622485755733865,0.74031178807947,1.6887375,
"npp_2008_kgC_m2_year","npp","numeric",489,61.4,461,0.137925192307692,0.453890167233567,0.593793041610255,0.620007465801671,0.733235861713106,1.7595375,
"npp_2009_kgC_m2_year","npp","numeric",489,61.4,461,0,0.476238386253901,0.601344775671185,0.626225277442974,0.739395855249316,1.78225,
"npp_2010_kgC_m2_year","npp","numeric",489,61.4,461,0.08304,0.483556269954861,0.584149336990397,0.619944382990703,0.729748885564665,1.59654248941823,
"npp_2011_kgC_m2_year","npp","numeric",489,61.4,461,0.03984,0.486922999419424,0.59534841624034,0.626414413733922,0.757611461424332,1.6219970316481,
"npp_2012_kgC_m2_year","npp","numeric",489,61.4,461,0.02526,0.440989625393326,0.561719416295095,0.603366287727292,0.711800784655623,1.73015,
"npp_2013_kgC_m2_year","npp","numeric",489,61.4,461,0.0585,0.487697211713605,0.583558537557282,0.625936183661821,0.733457513667478,1.657875,
"npp_2014_kgC_m2_year","npp","numeric",489,61.4,461,0.136921428571429,0.502796406984553,0.604487688172043,0.638844997270319,0.749027253218884,1.710825,
"npp_2015_kgC_m2_year","npp","numeric",489,61.4,461,0.140126055287407,0.474827192048676,0.592743966178836,0.625819264736768,0.744175604171899,1.59155077851304,
"npp_2016_kgC_m2_year","npp","numeric",489,61.4,461,0.01888,0.50655,0.597736363636364,0.63358167552318,0.744246571280168,1.532175,
"npp_2017_kgC_m2_year","npp","numeric",489,61.4,461,0.01296,0.45955889495158,0.597684834437086,0.626160328880422,0.751424758842444,1.699,
"npp_2018_kgC_m2_year","npp","numeric",489,61.4,461,0.08854,0.475238660664041,0.600550272639795,0.625550006160633,0.717812463989449,1.76623333333333,
"npp_2019_kgC_m2_year","npp","numeric",489,61.4,461,0.145487980769231,0.455976091336467,0.587986699767096,0.615833757382243,0.717894827016878,1.781,
"npp_2020_kgC_m2_year","npp","numeric",489,61.4,461,0.0573,0.479827485554956,0.611678834569045,0.632441245379447,0.752119064537311,1.706875,
"npp_2021_kgC_m2_year","npp","numeric",489,61.4,461,0.164259615384615,0.502953724475409,0.585591026815711,0.642347932817821,0.763312058465286,1.78795,
"npp_2022_kgC_m2_year","npp","numeric",489,61.4,461,0.151244221149627,0.488045454545455,0.605613310789762,0.644688303303143,0.756875,1.70105,
"npp_2023_kgC_m2_year","npp","numeric",446,56,418,0,0.493688419049452,0.603694462660061,0.625922838655975,0.750193294075231,1.606025,
"npp_2024_kgC_m2_year","npp","numeric",388,48.7,360,0,0.525725427579421,0.603008018401202,0.618006655093851,0.70065453953384,1.62646890308469,
"temp_1948_degC","air_temperature","numeric",511,64.1,413,-11.625835164388,4.58917134602867,9.10062688191734,8.70792243817137,11.1057791678015,25.8966664632162,
"temp_1949_degC","air_temperature","numeric",498,62.5,412,-12.3182535849961,5.46163611556547,9.71370206346701,9.38008888770598,11.5242120016189,25.3641677856446,
