LTER,Stream_Name,Discharge_File_Name,Shapefile_Name,Watershed_Source,Force_HydroSHEDS
MD,Barham,MD_409005_Q,AUS_409005,artisanal,FALSE
Canada,ALSEK RIVER ABOVE BATES RIVER IN KLUANE NATIONAL PARK,ALSEK_RIVER_Q,,hydrosheds,TRUE
