"Year","Month","Year_Month","flow_mm","volwt_Ca","volwt_Mg","volwt_K","volwt_Na","volwt_Al_Ferron","volwt_TMAl","volwt_OMAl","volwt_Al_ICP","volwt_NH4","volwt_SO4","volwt_NO3","volwt_Cl","volwt_PO4","volwt_DOC","volwt_TDN","volwt_DON","volwt_DIC","volwt_SiO2","volwt_Mn","volwt_Fe","volwt_F","volwt_H","volwt_pH","volwt_SpecCond","volwt_ANC"
1995,"06","1995-06",16.665,0.93,0.33,0.17,0.84,-888.888,-888.888,-888.888,-888.88,0.02,4.56,0.01,0.41,0.004,2.97,-888.88,0.15,-888.88,5.41,-888.88,-888.88,-888.88,0.0072,5.14,14.17,0.61
1995,"07","1995-07",14.29,0.96,0.36,0.16,1.04,-888.888,-888.888,-888.888,-888.88,0.02,4.62,0.01,0.43,0.004,3.19,-888.88,0.12,-888.88,6.78,-888.88,-888.88,-888.88,0.0042,5.38,15.29,3.16
1995,"08","1995-08",87.167,0.93,0.31,0.13,0.76,-888.888,-888.888,-888.888,-888.88,0.021,4.6,0.01,0.36,0.004,3.89,-888.88,0.13,-888.88,5.72,-888.88,-888.88,-888.88,0.0099,5,16.07,-13.02
1995,"09","1995-09",6.565,1.03,0.41,0.18,1.27,-888.888,-888.888,-888.888,-888.88,0.028,4.48,0.035,0.46,0.004,2.15,-888.88,0.13,-888.88,7.53,-888.88,-888.88,-888.88,0.001,6.01,15.05,25.81
1995,"10","1995-10",215.485,0.9,0.33,0.24,0.75,-888.888,-888.888,-888.888,-888.88,0.018,4.56,0.029,0.65,0.003,3.82,-888.88,0.15,-888.88,5.55,-888.88,-888.88,-888.88,0.0117,4.93,15.53,-8.16
1995,"11","1995-11",165.255,0.84,0.3,0.18,0.66,-888.888,-888.888,-888.888,-888.88,0.012,4.26,0.192,0.67,0.002,3.34,-888.88,0.12,-888.88,4.72,-888.88,-888.88,-888.88,0.0116,4.94,15.03,-13.71
1995,"12","1995-12",14.214,0.93,0.36,0.18,0.96,-888.888,-888.888,-888.888,-888.88,0.013,4.22,0.475,0.54,0.002,2.06,-888.88,0.11,-888.88,5.84,-888.88,-888.88,-888.88,0.0029,5.54,13.89,6.25
1996,"01","1996-01",173.052,0.89,0.33,0.19,0.8,-888.888,-888.888,-888.888,-888.88,0.005,4.07,0.879,0.57,0.002,2.6,-888.88,0.14,-888.88,4.9,-888.88,-888.88,-888.88,0.0091,5.04,15.32,-8.66
1996,"02","1996-02",77.163,0.9,0.33,0.19,0.84,-888.888,-888.888,-888.888,-888.88,0.005,4.14,0.736,0.62,0.001,2.14,-888.88,0.11,-888.88,5.06,-888.88,-888.88,-888.88,0.009,5.05,15.24,-8.15
1996,"03","1996-03",26.579,0.91,0.35,0.19,0.86,-888.888,-888.888,-888.888,-888.88,0.005,4.17,0.648,0.61,0.001,1.73,-888.88,0.09,-888.88,5.33,-888.88,-888.88,-888.88,0.0054,5.26,14.68,0.12
1996,"04","1996-04",273.868,0.73,0.24,0.17,0.59,-888.888,-888.888,-888.888,-888.88,0.005,3.79,0.648,0.56,0.003,3.69,-888.88,0.11,-888.88,3.33,-888.88,-888.88,-888.88,0.0139,4.86,16.2,-15.39
1996,"05","1996-05",262.388,0.65,0.2,0.14,0.5,-888.888,-888.888,-888.888,-888.88,0.011,3.59,0.283,0.44,0.003,3.66,-888.88,0.09,-888.88,2.97,-888.88,-888.88,-888.88,0.0192,4.72,14.45,-19.32
1996,"06","1996-06",60.271,0.78,0.27,0.15,0.74,-888.888,-888.888,-888.888,-888.88,0.011,3.91,0.05,0.35,0.002,3.47,-888.88,0.11,0.45,4.72,-888.88,-888.88,-888.88,0.0088,5.05,13.87,-6.83
1996,"07","1996-07",160.03,0.74,0.24,0.1,0.65,-888.888,-888.888,-888.888,-888.88,0.005,3.84,0.01,0.26,0.003,4.25,-888.88,0.12,0.46,4.61,-888.88,-888.88,-888.88,0.0131,4.88,14.55,-10.38
1996,"08","1996-08",8.247,0.91,0.32,0.14,1.05,-888.888,-888.888,-888.888,-888.88,0.005,4.25,0.063,0.36,0.003,2.62,-888.88,0.11,0.68,6.46,-888.88,-888.88,-888.88,0.0032,5.5,14.41,7.8
1996,"09","1996-09",3.032,1.05,0.39,0.22,1.48,-888.888,-888.888,-888.888,-888.88,0.009,4.22,0.157,0.46,0.003,2.27,-888.88,0.09,1.04,7.97,-888.88,-888.88,-888.88,5e-04,6.32,16.13,39.68
1996,"10","1996-10",91.078,0.7,0.25,0.37,0.64,-888.888,-888.888,-888.888,-888.88,0.006,3.85,0.064,0.64,0.006,7.94,-888.88,0.2,0.48,4.51,-888.88,-888.88,-888.88,0.0272,4.57,18.94,-24.04
1996,"11","1996-11",96.08,0.82,0.29,0.2,0.74,-888.888,-888.888,-888.888,-888.88,0.006,4.1,0.103,0.62,0.002,3.33,-888.88,0.09,0.52,4.9,-888.88,-888.88,-888.88,0.0094,5.03,14.3,-14.63
1996,"12","1996-12",162.352,0.73,0.25,0.19,0.62,-888.888,-888.888,-888.888,-888.88,0.02,3.6,0.351,0.49,0.002,4.21,-888.88,0.14,0.48,3.78,-888.88,-888.88,-888.88,0.0158,4.8,15.03,-19.17
1997,"01","1997-01",25.427,0.83,0.31,0.17,0.77,-888.888,-888.888,-888.888,-888.88,0.018,3.95,0.442,0.45,0.001,2.55,-888.88,0.14,0.67,4.75,-888.88,-888.88,-888.88,0.0067,5.18,13.62,-5.46
1997,"02","1997-02",29.24,0.86,0.33,0.18,0.81,-888.888,-888.888,-888.888,-888.88,0.006,3.96,0.561,0.43,0,2.49,-888.88,0.12,0.66,5.12,-888.88,-888.88,-888.88,0.0069,5.16,14.01,0.41
1997,"03","1997-03",50.561,0.86,0.33,0.18,0.75,-888.888,-888.888,-888.888,-888.88,0.005,3.99,0.602,0.42,0,2.62,-888.88,0.13,0.53,4.76,-888.88,-888.88,-888.88,0.0083,5.08,14.2,-2.84
1997,"04","1997-04",157.382,0.76,0.26,0.16,0.61,-888.888,-888.888,-888.888,-888.88,0.005,3.9,0.604,0.34,0,3.14,-888.88,0.11,0.49,3.91,-888.88,-888.88,-888.88,0.0129,4.89,14.59,-2.99
1997,"05","1997-05",267.136,0.64,0.2,0.14,0.5,-888.888,-888.888,-888.888,-888.88,0.008,3.62,0.307,0.23,0,3.82,-888.88,0.08,0.5,3.16,-888.88,-888.88,-888.88,0.0165,4.78,14.41,-12.83
1997,"06","1997-06",27.98,0.81,0.29,0.18,0.84,-888.888,-888.888,-888.888,-888.88,0.028,3.86,0.134,0.31,0.001,2.81,-888.88,0.1,0.46,5.21,-888.88,-888.88,-888.88,0.0044,5.36,13.29,-0.33
1997,"07","1997-07",71.909,0.84,0.29,0.15,0.86,-888.888,-888.888,-888.888,-888.88,0.012,3.85,0.068,0.3,0.003,2.96,-888.88,0.08,0.63,5.9,-888.88,-888.88,-888.88,0.0048,5.32,13.52,-6.32
1997,"08","1997-08",25.01,0.86,0.31,0.13,0.95,-888.888,-888.888,-888.888,-888.88,0.007,4.02,0.058,0.31,0.004,2.25,-888.88,0.1,0.63,6.46,-888.88,-888.88,-888.88,0.0038,5.42,13.67,0.24
1997,"09","1997-09",14.302,0.84,0.32,0.14,0.96,-888.888,-888.888,-888.888,-888.88,0.022,3.95,0.039,0.32,0.003,2.77,-888.88,0.06,0.64,6.48,-888.88,-888.88,-888.88,0.0026,5.58,13.05,6.75
