"LTER","Site/Stream.Name","Sampling.Date","Daily.Avg.Q.(Discharge)","Instantaneous.Q.(Discharge)","Stage.Height","Temp.C","Conductivity","Spec.Cond","Turbidity","TSS","VSS","DSi","TN","TDN","DIN","NOx","NO3","NO2","NH4","DON","TP","TDP","PO4","SRP","DOC","TOC","alkalinity","ANC","pH","DIC","Suspended.Chl","Benthic.Chl","Na","K","Ca","Mg","SO4","Cl"
"ARC ","I6 Inlet West",2006-08-09,NA,NA,NA,7.8,NA,80.3,NA,NA,NA,37.1,16,NA,0.783,0.783,NA,NA,NA,NA,0.0363,NA,0.0376,NA,620,NA,757,NA,7.04,86.08,NA,0.3,9.7,2.65,364,58.3,NA,NA
"ARC ","I6 Inlet West",2007-06-21,NA,NA,NA,10.2,NA,89.9,NA,NA,NA,30.1,18.8,NA,6.28,6.28,NA,NA,NA,NA,0.02,NA,0.0579,NA,425,NA,862,NA,7.16,198.00205,NA,0,12,4.85,402.9,65.2,NA,NA
"ARC ","I6 Inlet West",2007-07-11,NA,NA,NA,13.2,NA,147.6,NA,NA,NA,34.3,20.2,NA,8.97,8.97,NA,NA,NA,NA,0.0951,NA,0.0498,NA,527,NA,978,NA,7.29,50.00183,NA,0.4,16,5.47,674.6,107.1,NA,NA
"ARC ","I6 Inlet West",2007-08-08,NA,NA,NA,5.8,NA,67.6,NA,NA,NA,41.7,17.1,NA,0.783,0.783,NA,NA,NA,NA,0.0868,NA,0.14,NA,759,NA,637,NA,7.21,99.0833,NA,0.1,8.6,2.68,309,50.9,NA,NA
"ARC ","I6 Inlet West",2008-06-25,NA,NA,NA,10.1,NA,75.1,NA,NA,NA,39,21.7,NA,2.54,2.54,NA,NA,NA,NA,0.092,NA,0.0318,NA,621,NA,725,NA,7.12,50,NA,0.4,11.7,4.2,358.7,58.6,NA,NA
"ARC ","I6 Inlet West",2008-07-15,NA,NA,NA,9.7,NA,67,NA,NA,NA,45.3,19.9,NA,0.632,0.632,NA,NA,NA,NA,0.0531,NA,0.0204,NA,827,NA,623,NA,6.88,99.0603,NA,0.1,9.2,2.2,329,53.7,NA,NA
"ARC ","I6 Inlet West",2008-08-06,NA,NA,NA,4.4,NA,70.6,NA,NA,NA,44.2,15.7,NA,0.633,0.633,NA,NA,NA,NA,0.0901,NA,0.0283,NA,724,NA,NA,NA,7.08,98.0425,NA,0,9.7,2.34,345.9,55.6,NA,NA
"ARC ","I6 Inlet West",2009-06-24,NA,NA,NA,7.8,NA,77.8,NA,NA,NA,36.6,16.1,NA,1.99,1.99,NA,NA,NA,NA,0.0491,NA,0.0323,NA,481,NA,761,NA,6.97,118.00595,NA,0.2,11.2,3.97,404.4,64.2,NA,NA
"ARC ","I6 Inlet West",2009-07-15,NA,NA,NA,11.4,NA,87.1,NA,NA,NA,40.4,16.7,NA,1.1,1.1,NA,NA,NA,NA,0.08,NA,0.0418,NA,626,NA,854,NA,7.13,124.0301,NA,0.3,10.7,3.02,427.4,66.4,NA,NA
"ARC ","I6 Inlet West",2010-06-23,NA,NA,NA,9.2,NA,NA,NA,NA,NA,34.2,16.4,NA,2.43,2.43,NA,NA,NA,NA,0.034,NA,0.0509,NA,475,NA,780,NA,7.51,88.00315,NA,NA,8.3,2.6,373.3,59.5,NA,NA
"ARC ","I6 Inlet West",2010-07-14,NA,NA,NA,6.6,NA,113.7,NA,NA,NA,42.5,16.7,NA,4.58,4.58,NA,NA,NA,NA,0.0915,NA,0.0438,NA,406,NA,1164,NA,7.27,160.00494,NA,0.2,10.1,2.79,509.7,81.1,NA,NA
"ARC ","I6 Inlet West",2010-08-10,NA,NA,NA,8.5,NA,18.4,NA,NA,NA,39.4,15.8,NA,0.315,0.315,NA,NA,NA,NA,0.0484,NA,0.0664,NA,611,NA,750,NA,6.93,118.0311,NA,0,6.9,2.42,355.8,55.3,NA,NA
"ARC ","I6 Outlet",1994-07-01,NA,NA,NA,9.9,NA,27.5,NA,NA,NA,21.9,11.2,NA,2.48,0.58,NA,NA,1.9,NA,NA,NA,0.1,NA,444,NA,312,NA,8.45,45.203,NA,NA,11.3,7.42,NA,18.9,NA,NA
"ARC ","I6 Outlet",1994-07-19,NA,NA,NA,15.7,NA,36.5,NA,NA,NA,16.2,NA,NA,1.62,0.32,NA,NA,1.3,NA,NA,NA,NA,NA,410,NA,277,NA,8.06,24.254,NA,NA,7.4,6.65,NA,18.5,2.9,2.9
"ARC ","I6 Outlet",1994-08-12,NA,NA,NA,14.8,NA,38.3,NA,NA,NA,31.6,14.1,NA,0.3,0.3,NA,NA,NA,NA,NA,NA,0.1,NA,445,NA,336,NA,7.66,28.257,NA,NA,7.4,6.39,NA,19.7,NA,NA
"ARC ","I6 Outlet",1998-07-09,NA,NA,NA,12.5,NA,39.8,NA,NA,NA,24.9,15.3,NA,0.5783,0.0953,NA,NA,0.483,NA,0.116,NA,0.025,NA,538,NA,375,NA,8.7,28.278,NA,NA,7.5,5.11,169.1,45.5,3.2,2
"ARC ","I6 Outlet",1999-07-05,NA,NA,NA,16.5,NA,41.4,NA,NA,NA,18.4,18.4,NA,0.07,0.07,NA,NA,NA,NA,NA,NA,0.0459,NA,478,NA,373,NA,8.66,25.259,NA,NA,8.7,5.52,186.6,40.1,4.5,2.4
"ARC ","I6 Outlet",2000-07-06,NA,NA,NA,11,NA,39,NA,NA,NA,21.5,15.2,NA,0.3698,0.0828,NA,NA,0.287,NA,NA,NA,0.0745,NA,460,NA,342,NA,6.95,30.0577,NA,NA,8.5,7.28,175.4,38.3,3.8,2.7
"ARC ","I6 Outlet",2000-07-27,NA,NA,NA,10.7,NA,30,NA,NA,NA,25.4,13.6,NA,0.477,NA,NA,NA,0.477,NA,NA,NA,0.000428,NA,486,NA,371,NA,7.51,33.191,NA,1,7.6,6.47,173.4,48.6,4.1,3.3
"ARC ","I6 Outlet",2001-06-30,NA,NA,NA,7.9,NA,37.5,NA,NA,NA,16.6,18.3,NA,0.112,0.112,NA,NA,NA,NA,0.0669,NA,NA,NA,437,NA,334,NA,7.09,72.251,NA,NA,7.4,6.92,160.8,35.3,3.4,2.5
"ARC ","I6 Outlet",2001-07-17,NA,NA,NA,14.2,NA,34.8,NA,NA,NA,14.3,15.7,NA,0.0744,0.0744,NA,NA,NA,NA,0.0706,NA,0.0277,NA,142,NA,317,NA,7.12,29.156,NA,NA,7.8,6.48,155,34.3,3.4,2.3
"ARC ","I6 Outlet",2001-08-07,NA,NA,NA,10.2,NA,39,NA,NA,NA,15.7,13.5,NA,0.138,0.138,NA,NA,NA,NA,0.0328,NA,0.0119,NA,432,NA,350,NA,7.8,36.112,NA,NA,7.9,6.1,177.2,37.8,3.6,2
"ARC ","I6 Outlet",2002-06-25,NA,NA,NA,9.4,NA,40.2,NA,NA,NA,12.1,15.5,NA,NA,NA,NA,NA,NA,NA,0.0617,NA,NA,NA,438,NA,361,NA,7.31,38.113,NA,1.6,8.8,7.4,192.3,41,3.2,3.4
"ARC ","I6 Outlet",2002-07-17,NA,NA,NA,15.5,NA,34.7,NA,NA,NA,11.9,15.5,NA,0.114,0.114,NA,NA,NA,NA,0.0544,NA,0.0271,NA,425,NA,321,NA,7.48,26.0824,NA,0.5,8,6.18,164.5,36.2,3.2,2.1
"ARC ","I6 Outlet",2002-08-07,NA,NA,NA,10.6,NA,40.3,NA,NA,NA,9.1,14.5,NA,0.128,0.128,NA,NA,NA,NA,0.0757,NA,0.0162,NA,420,NA,357,NA,7.38,32.12,NA,1,10.7,5.65,163.6,35.3,3.3,2.4
"ARC ","I6 Outlet",2003-06-24,NA,NA,NA,7.7,NA,28.8,NA,NA,NA,13.3,22,NA,0.22,0.22,NA,NA,NA,NA,0.0737,NA,0.0134,NA,473,NA,256,NA,8.5,70.258,NA,1.6,5.9,6.83,107.1,24.7,2.4,1.3
"ARC ","I6 Outlet",2003-07-16,NA,NA,NA,10.8,NA,33,NA,NA,NA,13,16.4,NA,0.051,0.051,NA,NA,NA,NA,0.0908,NA,0.0305,NA,483,NA,293,NA,7.82,37.0941,NA,0,6.2,6.03,130.1,28.2,2.4,1.1
"ARC ","I6 Outlet",2003-08-06,NA,NA,NA,8.5,NA,34.1,NA,NA,NA,16.2,22.8,NA,0.123,0.123,NA,NA,NA,NA,0.1,NA,0.0653,NA,524,NA,295,NA,7.14,43.0902,NA,0.4,6.7,5.45,144.6,31,2.6,1.6
"ARC ","I6 Outlet",2004-06-22,NA,NA,NA,14.4,NA,35.4,NA,NA,NA,16.6,13.5,NA,0.313,0.313,NA,NA,NA,NA,0.0493,NA,0.0353,NA,445,NA,312,NA,NA,38.223,NA,1.1,6.4,5.99,146.5,31.7,2.9,2.7
"ARC ","I6 Outlet",2004-07-13,NA,NA,NA,13.2,NA,35.4,NA,NA,NA,17.3,9,NA,0.0386,0.0386,NA,NA,NA,NA,0.0218,NA,0.0982,NA,481,NA,312,NA,8.28,31.146,NA,0.2,6.5,5.74,150.4,33.6,2.7,2.8
"ARC ","I6 Outlet",2004-08-03,NA,NA,NA,12.4,NA,37.8,NA,NA,NA,17.9,9.5,NA,NA,NA,NA,NA,NA,NA,0.0207,NA,0.0357,NA,521,NA,324,NA,7.23,39.167,NA,1.1,6.6,4.62,162.7,35.2,2.8,2
"ARC ","I6 Outlet",2005-06-28,NA,NA,NA,16.4,NA,40.3,NA,NA,NA,15,14.5,NA,0.0426,0.0426,NA,NA,NA,NA,0.173,NA,0.0504,NA,440,NA,356,NA,6.99,NA,NA,0,7.4,6.4,161.5,36.7,3.1,3
"ARC ","I6 Outlet",2005-07-19,NA,NA,NA,13.9,NA,28,NA,NA,NA,13.9,11.6,NA,NA,NA,NA,NA,NA,NA,0.159,NA,0.0323,NA,459,NA,365,NA,8.25,31.141,NA,0.8,7.5,5.47,167.7,35.9,3.1,2.7
"ARC ","I6 Outlet",2005-08-09,NA,NA,NA,15.1,NA,41.4,NA,NA,NA,11.9,10.2,NA,0.0139,0.0139,NA,NA,NA,NA,0.0306,NA,0.00621,NA,448,NA,367,NA,7.04,41.229,NA,0.8,8.4,6.42,167.2,38.3,3.1,2.6
"ARC ","I6 Outlet",2006-06-21,NA,NA,NA,7.9,NA,37.4,NA,NA,NA,12.2,13.3,NA,0.0023,0.0023,NA,NA,NA,NA,0.0669,NA,0.0138,NA,514,NA,323,NA,7.11,62.593,NA,2.4,7.8,7.72,153.7,34.9,NA,NA
"ARC ","I6 Outlet",2006-07-14,NA,NA,NA,13.7,NA,36.5,NA,NA,NA,11,16.3,NA,0.00683,0.00683,NA,NA,NA,NA,0.0517,NA,0.0511,NA,530,NA,322,NA,7.19,28.565,NA,0.7,8,7.28,151.2,34.8,NA,NA
"ARC ","I6 Outlet",2006-08-10,NA,NA,NA,13.6,NA,40,NA,NA,NA,7.4,13.5,NA,0.00579,0.00579,NA,NA,NA,NA,0.0364,NA,0.0232,NA,508,NA,348,NA,7.07,25.252,NA,1.2,8.2,6.63,166.9,37.1,NA,NA
"ARC ","I6 Outlet",2007-06-21,NA,NA,NA,14.9,NA,39.1,NA,NA,NA,13.1,12.5,NA,NA,NA,NA,NA,NA,NA,0.0463,NA,0.0334,NA,483,NA,NA,NA,7.4,32.135,NA,0.8,8.5,7.45,163.7,36.2,NA,NA
"ARC ","I6 Outlet",2007-07-11,NA,NA,NA,17.6,NA,46.3,NA,NA,NA,11.1,11.3,NA,0.62,0.62,NA,NA,NA,NA,NA,NA,NA,NA,487,NA,367,NA,7.63,16.0515,NA,0.7,8.1,7.01,166.7,36.8,NA,NA
"ARC ","I6 Outlet",2007-08-08,NA,NA,NA,13.7,NA,45.5,NA,NA,NA,13.4,12.6,NA,0.0136,0.0136,NA,NA,NA,NA,0.0448,NA,0.015,NA,508,NA,411,NA,7.39,27.16,NA,0.6,8.9,6.79,190.2,40.1,NA,NA
"ARC ","I6 Outlet",2008-06-25,NA,NA,NA,11.4,NA,41.2,NA,NA,NA,18.2,15.8,NA,NA,NA,NA,NA,NA,NA,0.0365,NA,0.024,NA,519,NA,372,NA,7.3,11.193,NA,1.1,9.1,7.35,180.2,39.4,NA,NA
"ARC ","I6 Outlet",2008-07-15,NA,NA,NA,15.7,NA,42.6,NA,NA,NA,17.2,14.6,NA,0.0104,0.0104,NA,NA,NA,NA,0.0512,NA,0.0288,NA,529,NA,383,NA,7.01,21.12,NA,0.7,9.5,6.9,187.3,41.1,NA,NA
"ARC ","I6 Outlet",2008-08-06,NA,NA,NA,6.2,NA,70.3,NA,NA,NA,18.6,14.5,NA,0.0069,0.0069,NA,NA,NA,NA,0.0841,NA,0.0297,NA,514,NA,424,NA,7.07,40.108,NA,0.6,9.4,6.43,204.1,43.6,NA,NA
"ARC ","I6 Outlet",2009-06-24,NA,NA,NA,8.8,NA,34.6,NA,NA,NA,16.5,15.2,NA,0.0626,0.0626,NA,NA,NA,NA,0.0802,NA,0.0533,NA,568,NA,315,NA,6.97,53.157,NA,0.8,7.3,8.16,156.3,35.5,NA,NA
"ARC ","I6 Outlet",2009-07-15,NA,NA,NA,17.3,NA,35.9,NA,NA,NA,17.1,20.8,NA,0.0253,0.0253,NA,NA,NA,NA,0.0857,NA,0.019,NA,790,NA,313,NA,7.25,30.219,NA,0.3,6.9,7.17,161.9,36.3,NA,NA
"ARC ","I6 Outlet",2009-08-05,NA,NA,NA,13.8,NA,32.1,NA,NA,NA,15.6,21.2,NA,0.0259,0.0259,NA,NA,NA,NA,0.107,NA,0.0842,NA,765,NA,346,NA,7.07,46.445,NA,0.6,12.1,8.77,178.3,38.7,NA,NA
"ARC ","I6 Outlet",2010-06-23,NA,NA,NA,12.2,NA,NA,NA,NA,NA,18.6,12.3,NA,0.0438,0.0438,NA,NA,NA,NA,0.0552,NA,0.0894,NA,446,NA,372,NA,7.35,45.378,NA,NA,5.9,6.15,172.1,37.5,NA,NA
"ARC ","I6 Outlet",2010-07-14,NA,NA,NA,13.3,NA,40.8,NA,NA,NA,15.3,12.6,NA,0.164,0.164,NA,NA,NA,NA,0.102,NA,0.00901,NA,431,NA,365,NA,7.43,19.187,NA,0.7,6,6.03,170.5,37.4,NA,NA
"ARC ","I6 Outlet",2010-08-10,NA,NA,NA,13.3,NA,44.8,NA,NA,NA,17.6,12.8,NA,0.0269,0.0269,NA,NA,NA,NA,0.0244,NA,0.065,NA,481,NA,409,NA,7.12,34.192,NA,0.1,5.5,5.12,192.5,38.8,NA,NA
"ARC ","I7 into I9",1994-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,4.25,153.7,32.6,2.5,2
"ARC ","I7 into I9",1994-07-15,NA,NA,NA,13.9,NA,36,NA,NA,NA,21.6,NA,NA,1.97,0.47,NA,NA,1.5,NA,NA,NA,NA,NA,752,NA,299,NA,6.63,68.542,NA,NA,9.4,3.91,150.9,27.6,2.1,4.8
"ARC ","I7 into I9",1994-07-19,NA,NA,NA,15.9,NA,43.8,NA,NA,NA,19.6,NA,NA,1.62,0.32,NA,NA,1.3,NA,NA,NA,NA,NA,488,NA,367,NA,8.12,68.704,NA,NA,8.6,5.42,195.6,37.1,2.7,2.7
"ARC ","I7 into I9",1994-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,4.3,168.5,32.9,2.1,2.4
"ARC ","I7 into I9",1994-07-29,NA,NA,NA,15.9,NA,46.8,NA,NA,NA,18.6,NA,NA,1.4,0.3,NA,NA,1.1,NA,NA,NA,NA,NA,427,NA,410,NA,7.03,71.901,NA,NA,9.4,5.55,209.2,39.8,2.8,2.2
"ARC ","I7 into I9",1994-08-05,NA,NA,NA,15.9,NA,46.5,NA,NA,NA,37.6,NA,NA,3.06,0.46,NA,NA,2.6,NA,NA,NA,NA,NA,527,NA,428,NA,7.4,72.71,NA,NA,8,5.92,214.4,42.1,2.5,1.6
"ARC ","I7 into I9",1994-08-12,NA,NA,NA,13.8,NA,53.4,NA,NA,NA,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516,NA,524,NA,7.83,86.67,NA,NA,10.2,6.01,244.1,45.7,2.5,6
"ARC ","I7 into I9",1994-08-19,NA,NA,NA,9.1,NA,54,NA,NA,NA,30,NA,NA,1.1,0.3,NA,NA,0.8,NA,0.033,NA,0.1,NA,560,NA,523,NA,7.09,79.2,NA,NA,7.5,4.11,243.9,45.4,2.3,2.6
"ARC ","I7 into I9",1995-06-16,NA,NA,NA,10.1,NA,28.3,NA,NA,NA,13,22,NA,1.42,0.12,NA,NA,1.3,NA,0.065,NA,0.08,NA,454,NA,242,NA,7,62.204,NA,NA,6.4,5.99,113.5,24.5,2.2,2.8
"ARC ","I7 into I9",1995-06-30,NA,NA,NA,13.6,NA,35.5,NA,NA,NA,16.9,22.7,NA,0.82,0.12,NA,NA,0.7,NA,0.0445,NA,0.08,NA,531,NA,303,NA,7.73,63.379,NA,NA,7.8,5.81,150,30.7,2.3,1.9
"ARC ","I7 into I9",1995-07-07,NA,NA,NA,14.1,NA,39.2,NA,NA,NA,3.8,NA,NA,0.87,0.22,NA,NA,0.65,NA,NA,NA,0.09,NA,442,NA,NA,NA,7.08,69.48,NA,NA,2.5,2.48,85.1,11.6,2.2,1.9
"ARC ","I7 into I9",1995-07-14,NA,NA,NA,15.2,NA,52,NA,NA,NA,20.9,19,NA,1.35,0.45,NA,NA,0.9,NA,NA,NA,0.08,NA,580,NA,402,NA,7.07,79.877,NA,NA,7.4,5.28,207,39.7,2.1,2.3
"ARC ","I7 into I9",1995-07-21,NA,NA,NA,9.9,NA,35.5,NA,NA,NA,32.2,24.7,NA,0.34,0.12,NA,NA,0.22,NA,NA,NA,0.09,NA,957,NA,288,NA,7.07,77.806,NA,NA,2.8,3.2,146.3,33,1.7,3.8
"ARC ","I7 into I9",1995-08-04,NA,NA,NA,9.4,NA,43.5,NA,NA,NA,50.2,NA,NA,0.51,0.21,NA,NA,0.3,NA,NA,NA,0.08,NA,527,NA,516,NA,7.45,69.656,NA,NA,6.1,5.63,174.7,36.6,8,1
"ARC ","I7 into I9",1996-06-21,NA,NA,NA,12.5,NA,34.5,NA,NA,NA,12.4,NA,NA,0.51,0.11,NA,NA,0.4,NA,NA,NA,0.08,NA,565,NA,278,NA,6.85,74.53,NA,NA,7.1,6.09,141.3,28.7,2,3.2
"ARC ","I7 into I9",1996-06-28,NA,NA,NA,9.3,NA,35.5,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,NA,318,NA,6.63,69.462,NA,NA,7,5.06,149,30.3,2,1.8
"ARC ","I7 into I9",1996-07-05,NA,NA,NA,15.1,NA,39.6,NA,NA,NA,13.1,NA,NA,0.82,0.32,NA,NA,0.5,NA,NA,NA,0.08,NA,NA,NA,367,NA,7.13,87.948,NA,NA,19.4,6.52,168.3,32.7,2.5,1.3
"ARC ","I7 into I9",1996-07-12,NA,NA,NA,13,NA,43.7,NA,NA,NA,11.6,NA,NA,0.82,0.32,NA,NA,0.5,NA,NA,NA,0.08,NA,377,NA,389,NA,6.75,83.845,NA,NA,7.6,5.26,186.7,35.7,2.6,1.5
"ARC ","I7 into I9",1996-07-26,NA,NA,NA,12.5,NA,44.6,NA,NA,NA,16.8,NA,NA,0.31,0.11,NA,NA,0.2,NA,NA,NA,0.08,NA,455,NA,389,NA,7.04,60.15,NA,NA,7.1,4.81,183.7,35,2.1,1
"ARC ","I7 into I9",1996-08-20,NA,NA,NA,6.7,NA,45.1,NA,NA,NA,25.5,NA,NA,0.31,0.11,NA,NA,0.2,NA,NA,NA,0.08,NA,455,NA,440,NA,7.3,63.885,NA,NA,7.4,4.71,218.7,41.4,2.5,1.2
"ARC ","I7 into I9",1996-08-27,NA,NA,NA,2.5,NA,48.4,NA,NA,NA,23.3,NA,NA,0.51,0.11,NA,NA,0.4,NA,NA,NA,0.08,NA,NA,NA,460,NA,6.96,74.87,NA,NA,8.1,4.68,233.7,42.9,3.2,1.5
"ARC ","I7 into I9",1997-06-09,NA,NA,NA,8.9,NA,28.4,NA,NA,NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA,0.0808,NA,NA,NA,398,NA,246,NA,7.06,NA,NA,NA,6,6.48,120,33.4,2.1,2
"ARC ","I7 into I9",1997-06-20,NA,NA,NA,11.1,NA,32.4,NA,NA,NA,18.5,11.3,NA,0.0814,0.0814,NA,NA,NA,NA,0.0381,NA,NA,NA,432,NA,285,NA,7.23,62.412,NA,NA,6.2,5.2,130.2,35.3,2.1,1.6
"ARC ","I7 into I9",1997-07-01,NA,NA,NA,14.1,NA,40.2,NA,NA,NA,13,14,NA,0.662,0.142,NA,NA,0.52,NA,0.0383,NA,0.0329,NA,370,NA,366,NA,7.02,80.05,NA,NA,7,5.68,174,44,2.2,1.7
"ARC ","I7 into I9",1997-07-19,NA,NA,NA,15.4,NA,43.1,NA,NA,NA,24.6,13,NA,0.00581,0.00581,NA,NA,NA,NA,0.0556,NA,0.0888,NA,414,NA,386,NA,7.25,65.793,NA,NA,6.5,4.66,184.8,45.1,2.7,1.5
"ARC ","I7 into I9",1997-08-02,NA,NA,NA,14.2,NA,50.3,NA,NA,NA,28,14.6,NA,0.2814,0.0554,NA,NA,0.226,NA,NA,NA,NA,NA,411,NA,504,NA,6.95,67.938,NA,NA,7.1,4.36,212.4,50.1,2.3,1.5
"ARC ","I7 into I9",1997-08-18,NA,NA,NA,8.6,NA,47.8,NA,NA,NA,34.4,14.1,NA,0.0228,0.0228,NA,NA,NA,NA,0.0517,NA,NA,NA,541,NA,406,NA,7.16,50.922,NA,NA,6.7,4.29,197,48.4,3,1.2
"ARC ","I7 into I9",1998-06-16,NA,NA,NA,10.6,NA,37.1,NA,NA,NA,28.4,21.1,NA,0.273,0.273,NA,NA,NA,NA,0.0449,NA,0.0329,NA,487,NA,319,NA,6.9,60.203,NA,NA,7.2,3.93,158.4,40.8,2.9,1.4
"ARC ","I7 into I9",1998-06-24,NA,NA,NA,12.2,NA,44.7,NA,NA,NA,26.8,22.2,NA,0.49,0.49,NA,NA,NA,NA,0.0406,NA,0.0296,NA,428,NA,402,NA,6.44,70.652,NA,NA,7.6,4.5,188.3,45.9,3.3,1.6
"ARC ","I7 into I9",1998-07-03,NA,NA,NA,14.5,NA,47.4,NA,NA,NA,29.8,14.8,NA,0.579,NA,NA,NA,0.579,NA,0.0573,NA,NA,NA,445,NA,425,NA,6.81,80.47,NA,NA,7.3,4.11,205.3,49.2,3,1.6
"ARC ","I7 into I9",1998-07-10,NA,NA,NA,15.5,NA,51.4,NA,NA,NA,30.3,27.3,NA,0.737,0.37,NA,NA,0.367,NA,0.0472,NA,0.006,NA,443,NA,476,NA,NA,80.94,NA,NA,7.9,4.29,225,53.4,3.3,1.6
"ARC ","I7 into I9",1998-07-20,NA,NA,NA,15.3,NA,61.2,NA,NA,NA,32.9,16.4,NA,0.773,0.615,NA,NA,0.158,NA,0.0564,NA,0.0524,NA,425,NA,575,NA,7.22,120.31,NA,NA,8.2,4.15,263,61.5,3.5,4.7
"ARC ","I7 into I9",1998-08-03,NA,NA,NA,12.6,NA,54.6,NA,NA,NA,42,17.8,NA,0.098,NA,NA,NA,0.098,NA,0.0595,NA,0.0817,NA,601,NA,505,NA,7.69,64.812,NA,NA,6.6,3.52,244.1,59.8,3.2,1.3
"ARC ","I7 into I9",1998-08-14,NA,NA,NA,11.4,NA,55.9,NA,NA,NA,29.3,15.7,NA,0.162,0.162,NA,NA,NA,NA,0.0675,NA,NA,NA,499,NA,506,NA,7.51,61.792,NA,NA,8.1,3.67,256,48.4,4.9,2.3
"ARC ","I7 into I9",1999-06-28,NA,NA,NA,9.3,NA,47.5,NA,NA,NA,18.2,15.4,NA,0.45,0.45,NA,NA,NA,NA,NA,NA,0.0342,NA,426,NA,351,NA,7.75,79.626,NA,NA,8.8,5.05,212.9,40.7,4.5,3.4
"ARC ","I7 into I9",1999-07-06,NA,NA,NA,13.4,NA,53,NA,NA,NA,19.1,18.4,NA,0.96,0.96,NA,NA,NA,NA,NA,NA,0.0123,NA,433,NA,482,NA,NA,99.13,NA,NA,9.4,4.97,239.1,46,4.4,2.2
"ARC ","I7 into I9",1999-07-13,NA,NA,NA,18.1,NA,53,NA,NA,NA,22.6,NA,NA,0.49,0.49,NA,NA,NA,NA,NA,NA,0.0537,NA,463,NA,502,NA,8.44,94.99,NA,NA,9.5,4.61,254,47.6,4.5,2.4
"ARC ","I7 into I9",1999-08-02,NA,NA,NA,10.7,NA,NA,NA,NA,NA,24.8,12.9,NA,0.16,0.16,NA,NA,NA,NA,NA,NA,0.0105,NA,513,NA,487,NA,6.93,76.39,NA,NA,11.2,4.07,239.6,47.2,5.6,1.7
"ARC ","I7 into I9",1999-08-11,NA,NA,NA,12.3,NA,51,NA,NA,NA,30.9,15.7,NA,0.25,0.25,NA,NA,NA,NA,NA,NA,0.0251,NA,559,NA,542,NA,7.06,64.462,NA,NA,9.8,4.21,278.7,52.5,6,1.8
"ARC ","I7 into I9",2000-07-06,NA,NA,NA,10.7,NA,37.5,NA,NA,NA,25,14.8,NA,0.525,0.366,NA,NA,0.159,NA,NA,NA,0.116,NA,561,NA,324,NA,7.09,49.113,NA,NA,7.5,4.13,174.3,35.9,3.4,1.3
"ARC ","I7 into I9",2000-07-28,NA,NA,NA,8.9,NA,45,NA,NA,NA,29.2,14.3,NA,0.0517,NA,NA,NA,0.0517,NA,NA,NA,0.0299,NA,470,NA,444,NA,7.39,67.781,NA,0.4,8,4.62,210,53.9,4.3,6.2
"ARC ","I7 into I9",2001-06-30,NA,NA,NA,11.6,NA,36,NA,NA,NA,16.5,12.5,NA,0.0664,0.0664,NA,NA,NA,NA,0.0646,NA,0.0277,NA,449,NA,314,NA,7.7,58.309,NA,NA,7.6,5.75,156.9,33.1,3.1,4.1
"ARC ","I7 into I9",2001-07-06,NA,NA,NA,9.7,NA,41,NA,NA,NA,14.4,12.5,NA,0.0944,0.0944,NA,NA,NA,NA,0.0624,NA,0.0222,NA,390,NA,372,NA,7.31,63.614,NA,NA,7.6,5.6,179.7,37,3.3,2
"ARC ","I7 into I9",2001-07-18,NA,NA,NA,13.1,NA,46.4,NA,NA,NA,14.2,15.6,NA,0.195,0.195,NA,NA,NA,NA,0.0515,NA,0.0274,NA,373,NA,430,NA,6.59,70.7,NA,NA,7.8,5.53,206.5,40.2,3.4,1.8
"ARC ","I7 into I9",2001-07-20,NA,NA,NA,13.6,NA,43.1,NA,NA,NA,14.8,NA,NA,0.315,0.315,NA,NA,NA,NA,NA,NA,0.0307,NA,373,NA,437,NA,7.14,72.45,NA,NA,8.3,5.63,212.4,41.2,3.6,1.8
"ARC ","I7 into I9",2001-07-27,NA,NA,NA,11.4,NA,34.7,NA,NA,NA,23,16.6,NA,0.16,0.16,NA,NA,NA,NA,0.176,NA,NA,NA,463,NA,402,NA,7.37,64.656,NA,NA,7.2,4.11,199.2,39.1,4.7,2.8
"ARC ","I7 into I9",2001-08-01,NA,NA,NA,9.4,NA,43.2,NA,NA,NA,22.6,13.2,NA,0.0674,0.0674,NA,NA,NA,NA,0.0526,NA,0.0155,NA,371,NA,390,NA,7.03,62.267,NA,NA,7.6,4.46,200.2,39.8,3.7,1.9
"ARC ","I7 into I9",2001-08-08,NA,NA,NA,9.2,NA,46.4,NA,NA,NA,21.1,14.2,NA,0.0673,0.0673,NA,NA,NA,NA,0.0359,NA,0.0126,NA,446,NA,425,NA,6.6,62.463,NA,NA,7.8,4.83,216,42.2,4.1,2.2
