LTER	Stream_Name	Longitude	Latitude	Reason
Finnish Environmental Institute	Site 28208	25.5		Move the documented coastal outlet point onto the HydroBASINS land polygon.
Finnish Environmental Institute	Oulujoki 13000	25.5		Move the documented coastal outlet point onto the HydroBASINS land polygon.
